Player,Pos,Age,Tm,PER,BPM,WS/48,VORP,TS%,FG%,eFG%,3P%,2P%,FT%,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,OBPM,DBPM,PPG,APG,RPG,SPG,BPG,TPG,FPG
Mike Conley,PG,33.0,UTA,19.2,4.9,0.2,2.6,0.59,0.44,0.55,0.41,0.48,0.85,284,640,138.0,335.0,146,305,121,142,36.0,141.0,0.52,0.22,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,4.0,2.1,6.1,3.6,1.3,16.22,5.98,3.47,1.37,0.18,1.94,1.92
Mike James,PG,30.0,BRK,11.9,-4.4,0.03,-0.1,0.48,0.37,0.43,0.36,0.38,0.78,34,92,11.0,31.0,23,61,21,27,3.0,29.0,0.34,0.29,1.5,12.9,7.5,30.6,1.2,0.4,16.1,22.9,0.0,0.1,0.1,-2.1,-2.3,7.69,4.15,2.46,0.46,0.08,1.54,0.77
Mike Muscala,C,29.0,OKC,14.7,-0.1,0.1,0.3,0.6,0.45,0.57,0.37,0.61,0.92,119,267,68.0,184.0,51,83,33,36,19.0,113.0,0.69,0.14,3.0,18.4,10.6,7.0,0.6,1.5,6.9,20.0,0.9,0.4,1.3,0.9,-1.0,9.69,0.8,3.77,0.23,0.31,0.6,1.54
Mike Scott,PF,32.0,PHI,6.8,-2.8,0.06,-0.2,0.49,0.36,0.49,0.34,0.41,0.67,76,211,53.0,155.0,23,56,8,12,11.0,109.0,0.74,0.06,1.4,13.8,7.8,6.1,1.4,1.5,8.1,11.9,-0.1,1.1,1.0,-3.2,0.3,4.18,0.78,2.35,0.47,0.27,0.37,1.41
Miles Bridges,PF,22.0,CHO,14.7,0.2,0.1,1.1,0.62,0.5,0.6,0.4,0.59,0.87,313,622,116.0,290.0,197,332,98,113,81.0,316.0,0.47,0.18,4.5,18.0,11.1,11.4,1.1,2.7,13.6,17.3,2.4,1.9,4.2,0.2,0.1,12.73,2.23,6.02,0.67,0.79,1.61,2.17
Mitchell Robinson,C,22.0,NYK,17.7,1.2,0.19,0.7,0.64,0.65,0.65,0.0,0.65,0.49,115,176,0.0,0.0,115,176,26,53,113.0,139.0,0.0,0.3,14.5,17.5,16.0,2.9,2.1,5.0,11.5,11.8,1.8,1.7,3.4,-0.3,1.5,8.26,0.55,8.13,1.13,1.45,0.84,2.77
Miye Oni,SG,23.0,UTA,6.4,-1.7,0.08,0.0,0.52,0.35,0.5,0.34,0.46,0.83,35,99,30.0,88.0,5,11,5,6,23.0,61.0,0.89,0.06,4.9,11.9,8.6,6.8,1.0,1.2,13.6,9.8,0.2,0.7,0.9,-3.0,1.3,1.94,0.52,1.56,0.2,0.15,0.3,1.13
Mo Bamba,C,22.0,ORL,19.3,0.1,0.12,0.4,0.56,0.47,0.54,0.32,0.57,0.68,142,301,38.0,118.0,104,183,45,66,76.0,189.0,0.39,0.22,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,0.7,1.1,1.8,0.2,0.0,7.98,0.76,5.76,0.3,1.26,0.78,1.89
Monte Morris,PG,25.0,DEN,14.0,-0.3,0.12,0.5,0.57,0.48,0.55,0.38,0.53,0.8,186,387,51.0,134.0,135,253,58,73,11.0,85.0,0.35,0.19,1.0,8.0,4.6,17.1,1.4,1.1,7.5,16.5,2.0,0.8,2.9,0.1,-0.5,10.23,3.19,2.04,0.72,0.28,0.72,1.02
Montrezl Harrell,C,27.0,LAL,22.7,3.0,0.22,2.0,0.65,0.62,0.62,0.0,0.63,0.71,375,603,0.0,10.0,375,593,181,256,158.0,270.0,0.02,0.42,11.3,19.1,15.2,7.7,1.4,2.8,9.4,21.7,4.5,2.7,7.3,2.3,0.7,13.49,1.06,6.2,0.67,0.71,1.07,1.86
Moritz Wagner,C,23.0,WAS,8.63,-4.8,0.02,0.0,0.52,0.4,0.47,0.34,0.43,0.72,104,229,31.0,91.0,73,138,71,87,27.0,119.0,0.41,0.31,4.33,20.8,12.47,10.13,1.13,2.07,20.4,17.8,0.17,0.27,0.4,-4.8,-0.07,6.89,1.11,3.24,0.58,0.4,0.96,2.4
Moses Brown,C,21.0,OKC,18.8,-2.4,0.14,-0.1,0.57,0.55,0.55,0.0,0.55,0.62,146,268,0.0,0.0,146,268,78,126,154.0,229.0,0.0,0.47,17.2,26.2,21.6,1.7,1.6,4.5,11.7,16.9,1.3,1.3,2.6,-1.3,-1.2,8.6,0.23,8.91,0.72,1.09,1.0,2.16
Mychal Mulder,PG,26.0,GSW,10.8,-1.8,0.08,0.0,0.61,0.45,0.61,0.4,0.67,0.64,119,265,85.0,214.0,34,51,14,22,8.0,52.0,0.81,0.08,1.1,7.1,4.2,4.8,0.7,1.4,5.5,16.2,0.6,0.6,1.2,-0.6,-1.2,5.62,0.43,1.0,0.2,0.2,0.27,0.93
Myles Turner,C,24.0,IND,15.3,0.4,0.11,0.9,0.6,0.48,0.56,0.34,0.61,0.78,206,432,69.0,206.0,137,226,111,142,63.0,243.0,0.48,0.33,4.7,18.0,11.4,4.4,1.3,8.8,11.9,16.4,1.1,2.2,3.3,-1.6,2.0,12.6,1.02,6.51,0.85,3.38,1.43,3.51
Naji Marshall,SF,23.0,NOP,11.4,-1.3,0.06,0.1,0.51,0.39,0.46,0.35,0.42,0.71,82,209,29.0,83.0,53,126,53,75,15.0,133.0,0.4,0.36,2.3,20.6,11.5,16.5,1.8,1.4,13.6,16.8,0.2,0.7,0.9,-2.1,0.8,7.69,2.75,4.62,0.81,0.31,1.19,1.81
Nassir Little,PF,20.0,POR,11.6,-2.7,0.08,-0.1,0.59,0.47,0.55,0.35,0.57,0.8,78,167,28.0,80.0,50,87,36,45,32.0,96.0,0.48,0.27,5.2,16.5,10.7,4.9,0.4,1.8,8.8,13.8,0.9,0.2,1.1,-1.1,-1.6,4.58,0.48,2.67,0.1,0.27,0.38,1.06
Nate Darling,SG,22.0,CHO,8.2,-4.0,0.04,0.0,0.54,0.29,0.43,0.29,0.0,1.0,2,7,2.0,7.0,0,0,3,3,1.0,0.0,1.0,0.43,4.1,0.0,2.1,5.1,0.0,3.8,10.7,15.4,0.0,0.0,0.0,-1.5,-2.5,1.29,0.14,0.14,0.0,0.14,0.14,0.14
Nate Hinton,SG,21.0,DAL,10.4,-3.4,-0.02,0.0,0.44,0.36,0.4,0.21,0.48,0.7,15,42,4.0,19.0,11,23,7,10,1.0,8.0,0.45,0.24,1.2,9.4,5.3,12.4,3.7,2.0,9.7,24.4,-0.2,0.1,0.0,-4.5,1.0,1.95,0.38,0.43,0.33,0.1,0.24,0.38
Nathan Knight,PF,23.0,ATL,13.9,-3.7,0.07,-0.1,0.5,0.37,0.4,0.18,0.46,0.8,37,100,6.0,33.0,31,67,44,55,27.0,45.0,0.33,0.55,10.8,17.3,14.1,4.0,1.6,3.2,10.8,21.7,0.1,0.3,0.4,-2.6,-1.0,3.76,0.24,2.18,0.27,0.3,0.45,0.67
Naz Reid,C,21.0,MIN,18.2,-0.2,0.11,0.6,0.6,0.52,0.58,0.35,0.6,0.69,304,581,61.0,174.0,243,407,115,166,82.0,240.0,0.3,0.29,6.4,20.0,12.9,8.7,1.2,4.9,9.5,22.5,1.9,1.3,3.2,-0.1,-0.2,11.2,1.03,4.6,0.49,1.09,0.99,2.56
Nemanja Bjelica,PF,32.0,SAC,13.0,-1.95,0.09,-0.05,0.55,0.45,0.53,0.33,0.55,0.66,89,196,27.0,85.0,62,111,37,51,29.0,98.0,0.49,0.24,4.85,17.65,11.25,17.0,1.55,1.2,11.7,17.6,0.25,0.15,0.45,-1.55,-0.45,6.54,1.86,3.43,0.41,0.14,0.89,1.84
Nerlens Noel,C,26.0,NYK,14.8,1.4,0.16,1.3,0.64,0.61,0.61,0.0,0.62,0.71,137,223,0.0,3.0,137,220,50,70,142.0,266.0,0.01,0.31,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,1.6,3.6,5.2,-2.4,3.8,5.06,0.72,6.38,1.09,2.2,1.02,2.75
Nic Claxton,C,21.0,BRK,16.9,0.4,0.15,0.4,0.61,0.62,0.62,0.2,0.64,0.48,90,145,1.0,5.0,89,140,31,64,43.0,123.0,0.03,0.44,8.4,21.8,15.4,6.4,1.9,5.9,9.4,14.0,1.0,0.9,1.9,-1.0,1.4,6.62,0.88,5.19,0.72,1.25,0.56,2.12
Nick Richards,PF,23.0,CHO,5.5,-8.0,0.03,-0.1,0.54,0.44,0.44,0.0,0.5,0.64,4,9,0.0,1.0,4,8,7,11,4.0,7.0,0.11,1.22,6.8,12.2,9.5,4.2,0.0,0.0,17.8,11.5,0.0,0.0,0.0,-5.9,-2.1,0.83,0.11,0.61,0.0,0.0,0.17,0.39
Nickeil Alexander-Walker,SG,22.0,NOP,12.5,-1.3,0.04,0.2,0.52,0.42,0.5,0.35,0.48,0.73,192,458,76.0,219.0,116,239,48,66,13.0,131.0,0.48,0.14,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,-1.4,0.1,11.04,2.22,3.13,1.02,0.48,1.5,1.91
Nico Mannion,PG,19.0,GSW,9.3,-3.9,0.03,-0.2,0.49,0.34,0.44,0.37,0.32,0.82,39,114,22.0,60.0,17,54,23,28,6.0,40.0,0.53,0.25,1.8,11.5,6.7,25.6,2.1,0.2,19.7,18.5,-0.2,0.4,0.2,-3.4,-0.5,4.1,2.33,1.53,0.53,0.03,1.03,0.97
Nicolas Batum,SF,32.0,LAC,12.9,2.1,0.13,1.9,0.62,0.46,0.6,0.4,0.58,0.83,191,412,110.0,272.0,81,140,48,58,50.0,266.0,0.66,0.14,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,2.7,2.3,5.0,0.6,1.5,8.06,2.21,4.72,1.03,0.55,0.79,1.52
Nicolò Melli,PF,30.0,NOP,7.6,-3.55,0.04,-0.1,0.43,0.32,0.4,0.26,0.4,0.79,46,141,23.0,85.0,23,56,19,25,29.0,93.0,0.61,0.17,5.6,18.2,11.9,10.2,1.3,0.5,7.7,12.5,0.05,0.2,0.25,-3.6,0.15,2.98,0.98,2.71,0.31,0.07,0.27,1.29
Nikola Jokic,C,25.0,DEN,31.3,12.1,0.3,8.8,0.65,0.57,0.6,0.39,0.61,0.87,732,1293,92.0,237.0,640,1056,342,394,205.0,575.0,0.18,0.3,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,9.1,3.0,26.36,8.32,10.83,1.32,0.67,3.08,2.67
Nikola Vucevic,C,30.0,ORL,22.65,5.15,0.13,2.2,0.56,0.48,0.54,0.4,0.51,0.85,666,1396,176.0,440.0,490,956,131,156,146.0,671.0,0.31,0.11,6.8,31.0,18.75,21.05,1.35,1.9,7.9,29.05,1.65,1.5,3.15,4.65,0.45,23.41,3.84,11.67,0.93,0.69,1.8,1.96
Noah Vonleh,PF,25.0,BRK,-19.0,-26.7,-0.49,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,2.0,0,1,0,0,0.0,1.0,0.67,0.0,0.0,9.6,5.0,10.2,0.0,0.0,40.0,19.8,-0.1,0.0,-0.1,-20.9,-5.8,0.0,0.25,0.25,0.0,0.0,0.5,0.5
Norman Powell,SG,27.0,TOR,15.95,0.15,0.1,0.65,0.61,0.47,0.56,0.4,0.53,0.87,438,918,171.0,416.0,267,502,236,271,42.0,173.0,0.45,0.3,2.1,8.7,5.25,9.05,1.8,0.8,10.15,22.35,1.7,0.65,2.35,0.85,-0.7,18.59,1.87,3.12,1.19,0.26,1.72,2.32
Norvel Pelle,C,27.0,BRK,8.7,-5.25,0.06,0.0,0.56,0.57,0.57,0.0,0.57,0.25,8,14,0.0,0.0,8,14,1,2,5.0,13.0,0.0,0.14,8.35,16.8,12.65,1.35,0.5,10.2,15.0,11.2,0.0,0.05,0.1,-6.65,1.45,1.42,0.08,1.5,0.08,0.75,0.25,1.08
OG Anunoby,SF,23.0,TOR,15.4,1.2,0.1,1.2,0.6,0.48,0.58,0.4,0.56,0.78,249,519,104.0,261.0,145,258,80,102,54.0,183.0,0.5,0.2,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.8,0.4,15.86,2.19,5.51,1.53,0.74,1.74,2.65
Obi Toppin,PF,22.0,NYK,12.7,-0.7,0.11,0.2,0.57,0.5,0.56,0.31,0.63,0.73,104,209,26.0,85.0,78,124,19,26,26.0,112.0,0.41,0.12,4.2,17.6,11.0,6.4,1.2,2.1,9.4,15.9,0.5,1.0,1.5,-1.4,0.7,4.08,0.47,2.23,0.27,0.24,0.37,0.89
Onyeka Okongwu,C,20.0,ATL,16.8,-1.4,0.16,0.1,0.66,0.64,0.64,0.0,0.66,0.63,96,149,0.0,3.0,96,146,36,57,62.0,101.0,0.02,0.38,11.5,18.0,14.9,4.4,1.9,4.8,14.3,14.7,1.1,0.8,1.9,-2.2,0.8,4.56,0.36,3.26,0.46,0.66,0.58,2.0
Oshae Brissett,SF,22.0,IND,17.2,0.6,0.16,0.3,0.64,0.48,0.59,0.42,0.55,0.77,73,151,33.0,78.0,40,73,50,65,29.0,86.0,0.52,0.43,6.1,17.9,12.0,4.6,1.7,3.1,5.3,15.6,1.2,0.6,1.8,1.1,-0.5,10.9,0.86,5.48,0.9,0.95,0.48,1.52
Otto Porter Jr.,SF,27.0,CHI,13.25,-0.75,0.08,0.15,0.5,0.4,0.46,0.26,0.49,0.92,98,227,39.0,104.0,59,123,36,42,28.0,124.0,0.42,0.19,2.9,22.6,12.6,12.3,2.0,0.3,5.15,18.65,0.3,0.35,0.65,-1.55,0.7,9.68,1.96,5.43,0.57,0.14,0.89,1.46
P.J. Tucker,PF,35.0,HOU,5.6,-3.75,0.04,-0.35,0.52,0.38,0.5,0.35,0.43,0.69,66,177,40.0,119.0,26,58,21,28,51.0,153.0,0.69,0.14,4.2,11.5,7.8,5.35,1.3,1.05,15.85,6.75,0.0,0.45,0.45,-4.1,0.35,3.71,1.17,3.92,0.75,0.38,0.77,2.4
P.J. Washington,PF,22.0,CHO,13.4,-0.9,0.07,0.6,0.55,0.44,0.52,0.39,0.48,0.74,302,686,112.0,290.0,190,396,108,145,93.0,325.0,0.42,0.21,5.1,18.3,11.6,12.2,1.7,4.0,14.6,19.4,0.3,2.4,2.7,-1.5,0.6,12.88,2.52,6.53,1.08,1.23,2.0,2.67
PJ Dozier,SG,24.0,DEN,10.4,-2.6,0.05,-0.2,0.5,0.42,0.48,0.32,0.49,0.64,148,355,47.0,149.0,101,206,42,66,35.0,147.0,0.42,0.19,3.7,15.3,9.5,11.2,1.4,2.0,10.7,17.2,0.1,1.1,1.1,-2.3,-0.4,7.7,1.84,3.64,0.62,0.44,0.92,1.72
Pascal Siakam,PF,26.0,TOR,17.7,0.8,0.1,1.4,0.55,0.46,0.49,0.3,0.51,0.83,437,961,73.0,246.0,364,715,249,301,95.0,310.0,0.26,0.31,5.0,17.6,11.1,20.5,1.5,1.8,10.6,26.3,2.3,2.0,4.2,1.0,-0.3,21.36,4.46,7.23,1.14,0.66,2.32,3.11
Pat Connaughton,SG,28.0,MIL,11.3,0.0,0.11,0.8,0.58,0.43,0.56,0.37,0.58,0.78,168,387,101.0,272.0,67,115,31,40,63.0,269.0,0.7,0.1,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,1.8,1.7,3.5,-0.5,0.5,6.78,1.17,4.81,0.71,0.33,0.48,1.43
Patrick Beverley,PG,32.0,LAC,12.0,0.7,0.12,0.6,0.58,0.42,0.55,0.4,0.47,0.8,93,220,56.0,141.0,37,79,36,45,29.0,90.0,0.64,0.2,4.0,11.8,8.0,12.0,1.7,3.0,12.4,14.6,1.0,1.0,2.1,-0.7,1.4,7.51,2.05,3.22,0.78,0.76,0.92,2.92
Patrick Patterson,PF,31.0,LAC,10.9,-0.6,0.1,0.2,0.57,0.44,0.56,0.36,0.6,0.76,72,165,40.0,112.0,32,53,13,17,19.0,56.0,0.68,0.1,3.8,10.5,7.2,6.7,1.2,1.2,6.0,14.0,0.7,0.5,1.2,-0.4,-0.1,5.18,0.76,1.97,0.37,0.21,0.29,1.18
Patrick Williams,PF,19.0,CHI,10.5,-2.4,0.06,-0.2,0.56,0.48,0.53,0.39,0.52,0.73,255,528,54.0,138.0,201,390,91,125,66.0,261.0,0.26,0.24,3.7,14.4,9.1,6.7,1.6,2.0,14.4,14.9,0.3,2.2,2.5,-2.8,0.4,9.23,1.39,4.61,0.9,0.65,1.38,1.77
Patty Mills,PG,32.0,SAS,11.8,-1.2,0.06,0.4,0.57,0.41,0.54,0.38,0.5,0.91,252,611,161.0,429.0,91,182,71,78,18.0,98.0,0.7,0.13,1.1,6.3,3.7,13.5,1.2,0.2,9.3,18.4,1.3,0.8,2.2,0.0,-1.2,10.82,2.38,1.71,0.62,0.04,0.97,1.19
Paul George,SF,30.0,LAC,20.5,4.2,0.14,2.9,0.6,0.47,0.56,0.41,0.51,0.87,445,953,171.0,416.0,274,537,198,228,45.0,314.0,0.44,0.24,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30.0,3.0,2.3,5.3,3.9,0.3,23.31,5.19,6.65,1.15,0.44,3.31,2.44
Paul Millsap,PF,35.0,DEN,16.4,1.0,0.13,0.9,0.56,0.48,0.54,0.34,0.55,0.72,191,401,49.0,143.0,142,258,71,98,76.0,186.0,0.36,0.24,7.4,18.1,12.8,11.6,2.2,3.0,10.3,18.6,1.7,1.6,3.2,0.3,0.7,8.96,1.75,4.68,0.91,0.64,0.91,1.98
Paul Reed,PF,21.0,PHI,21.2,-1.0,0.16,0.0,0.54,0.54,0.54,0.0,0.58,0.5,42,78,0.0,6.0,42,72,4,8,30.0,31.0,0.08,0.1,19.0,18.9,19.0,11.0,2.7,6.6,12.8,22.7,0.2,0.4,0.6,-1.8,0.8,3.38,0.46,2.35,0.38,0.5,0.46,1.12
Paul Watson,SF,26.0,TOR,10.9,-1.3,0.1,0.1,0.65,0.46,0.65,0.47,0.44,0.62,38,82,30.0,64.0,8,18,5,8,4.0,41.0,0.78,0.1,1.4,15.7,8.3,8.2,1.0,1.0,9.5,13.7,0.4,0.2,0.6,-0.8,-0.6,4.11,0.63,1.67,0.22,0.11,0.33,1.33
Payton Pritchard,SG,23.0,BOS,12.4,-0.7,0.1,0.4,0.58,0.44,0.56,0.41,0.48,0.89,184,418,102.0,248.0,82,170,40,45,33.0,125.0,0.59,0.11,2.9,11.1,6.9,13.3,1.4,0.7,10.8,16.7,1.6,0.9,2.5,-0.3,-0.4,7.73,1.82,2.39,0.56,0.14,0.8,1.58
Precious Achiuwa,PF,21.0,MIA,14.2,-4.1,0.08,-0.4,0.55,0.54,0.54,0.0,0.55,0.51,124,228,0.0,1.0,124,227,56,110,73.0,135.0,0.0,0.48,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,-3.6,-0.5,4.98,0.48,3.41,0.33,0.46,0.7,1.49
Quinn Cook,PG,27.0,LAL,12.9,-1.05,0.07,0.0,0.54,0.43,0.52,0.42,0.46,0.9,29,68,11.0,26.0,18,42,7,8,2.0,15.0,0.4,0.13,1.15,10.55,5.8,17.3,1.2,0.7,9.05,21.8,0.05,0.1,0.1,-0.9,-0.15,3.3,0.78,0.74,0.17,0.04,0.3,0.43
Quinndary Weatherspoon,SG,24.0,SAS,9.6,-5.0,0.02,-0.1,0.55,0.46,0.47,0.17,0.52,0.81,16,35,1.0,6.0,15,29,13,16,3.0,8.0,0.17,0.46,2.6,7.2,4.8,9.1,3.2,1.4,19.2,18.7,-0.1,0.1,0.1,-5.8,0.7,2.3,0.4,0.55,0.4,0.1,0.5,0.9
R.J. Hampton,PG,19.0,DEN,10.0,-4.35,0.02,-0.2,0.5,0.43,0.47,0.3,0.48,0.7,136,313,27.0,87.0,109,226,55,82,29.0,150.0,0.29,0.24,3.9,18.7,11.2,12.75,1.15,0.95,13.65,17.9,-0.15,0.35,0.15,-3.25,-1.1,6.94,1.71,3.51,0.41,0.2,1.04,1.2
RJ Barrett,SG,20.0,NYK,13.4,-1.2,0.08,0.5,0.54,0.44,0.5,0.4,0.46,0.75,467,1060,124.0,309.0,343,751,206,276,68.0,346.0,0.29,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,-0.9,-0.3,17.56,3.01,5.75,0.74,0.28,1.93,2.61
Rajon Rondo,PG,34.0,ATL,13.35,-0.1,0.08,0.2,0.54,0.44,0.53,0.4,0.47,0.75,95,215,36.0,89.0,59,126,16,17,18.0,92.0,0.41,0.08,2.75,12.9,7.95,35.4,2.35,0.45,26.2,17.2,0.25,0.4,0.65,-0.4,0.35,5.38,4.42,2.44,0.82,0.09,1.76,1.18
Raul Neto,PG,28.0,WAS,13.0,-0.6,0.1,0.5,0.57,0.47,0.54,0.39,0.51,0.88,209,447,64.0,164.0,145,283,75,85,28.0,128.0,0.37,0.19,2.1,9.6,5.9,14.0,2.4,0.4,9.9,15.8,1.5,1.3,2.8,-1.4,0.9,8.7,2.28,2.44,1.14,0.09,0.83,1.7
Rayjon Tucker,PG,23.0,PHI,15.1,-3.4,0.17,0.0,0.64,0.5,0.56,0.29,0.64,0.74,9,18,2.0,7.0,7,11,14,19,1.0,10.0,0.39,1.06,1.6,15.9,8.9,12.2,1.4,0.0,13.2,19.2,0.1,0.1,0.2,-3.0,-0.4,2.43,0.43,0.79,0.14,0.0,0.29,0.57
Reggie Bullock,SF,29.0,NYK,11.1,-0.1,0.11,0.9,0.61,0.44,0.59,0.41,0.52,0.91,248,561,163.0,398.0,85,163,50,55,16.0,207.0,0.71,0.1,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,2.3,2.3,4.6,-0.9,0.8,10.91,1.52,3.43,0.8,0.17,0.69,2.25
Reggie Jackson,SG,30.0,LAC,14.2,0.4,0.12,0.9,0.58,0.45,0.55,0.43,0.46,0.82,263,585,122.0,282.0,141,303,67,82,24.0,168.0,0.48,0.14,1.8,11.9,7.0,19.0,1.3,0.4,10.6,19.9,2.3,1.4,3.7,0.6,-0.2,10.67,3.06,2.87,0.61,0.1,1.1,1.9
Reggie Perry,PF,20.0,BRK,11.0,-6.7,0.04,-0.2,0.47,0.41,0.44,0.19,0.49,0.77,32,78,4.0,21.0,28,57,10,13,27.0,46.0,0.27,0.17,14.9,22.9,19.1,9.0,1.4,2.5,15.2,20.4,-0.1,0.2,0.2,-5.3,-1.4,3.0,0.54,2.81,0.23,0.23,0.58,1.54
Richaun Holmes,C,27.0,SAC,20.2,0.6,0.16,1.2,0.67,0.64,0.64,0.18,0.64,0.79,366,575,2.0,11.0,364,564,135,170,144.0,360.0,0.02,0.3,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,4.7,1.4,6.1,0.6,0.0,14.25,1.66,8.26,0.64,1.57,1.23,3.49
Ricky Rubio,PG,30.0,MIN,13.5,-1.9,0.08,0.0,0.52,0.39,0.45,0.31,0.45,0.87,193,498,66.0,214.0,127,284,130,150,28.0,195.0,0.43,0.3,1.6,12.4,6.8,33.3,2.6,0.2,16.4,16.0,1.9,1.3,3.1,-1.9,0.0,8.56,6.37,3.28,1.44,0.06,1.63,2.04
Robert Covington,PF,30.0,POR,11.2,0.2,0.08,1.2,0.55,0.4,0.53,0.38,0.45,0.81,204,509,135.0,356.0,69,153,50,62,61.0,405.0,0.7,0.12,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,1.4,2.4,3.7,-1.3,1.5,8.47,1.67,6.66,1.44,1.2,0.91,2.79
Robert Franks,PF,24.0,ORL,16.5,-0.2,0.16,0.0,0.64,0.46,0.55,0.33,0.62,0.92,13,28,5.0,15.0,8,13,12,13,6.0,8.0,0.54,0.46,6.0,8.5,7.2,7.4,1.4,2.7,5.6,15.3,0.3,0.1,0.3,0.7,-0.8,6.14,0.71,2.0,0.43,0.43,0.29,1.14
Robert Williams,C,23.0,BOS,25.7,6.0,0.26,2.0,0.72,0.72,0.72,0.0,0.73,0.62,186,258,0.0,2.0,186,256,45,73,133.0,225.0,0.01,0.28,14.9,25.6,20.2,14.2,2.1,8.6,15.2,15.0,3.4,1.9,5.3,2.9,3.1,8.02,1.81,6.88,0.83,1.75,1.0,2.02
Robert Woodard II,SF,21.0,SAC,12.5,-5.3,-0.01,0.0,0.42,0.4,0.42,0.17,0.5,0.38,8,20,1.0,6.0,7,14,3,8,4.0,12.0,0.3,0.4,9.7,30.0,19.7,6.3,0.0,5.6,4.1,23.4,0.0,0.0,0.0,-2.7,-2.6,1.54,0.15,1.23,0.0,0.23,0.08,0.31
Robin Lopez,C,32.0,WAS,16.7,-1.0,0.13,0.4,0.66,0.63,0.64,0.28,0.65,0.72,269,425,5.0,18.0,264,407,99,137,141.0,131.0,0.04,0.32,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,2.8,0.9,3.7,0.2,-1.2,9.04,0.77,3.83,0.21,0.62,1.06,1.54
Rodions Kurucs,PF,22.0,BRK,8.8,-2.13,0.04,-0.03,0.55,0.4,0.53,0.46,0.33,0.5,11,32,6.0,21.0,5,11,3,4,5.0,18.0,0.63,0.12,4.1,17.0,10.7,12.4,2.63,1.6,20.07,13.87,-0.1,0.07,-0.07,-3.93,1.8,1.48,0.48,1.1,0.43,0.19,0.62,0.76
Rodney Hood,SF,28.0,POR,6.25,-5.85,-0.0,-0.55,0.47,0.36,0.43,0.3,0.4,0.84,94,260,34.0,113.0,60,147,24,28,23.0,80.0,0.45,0.17,2.55,10.75,6.5,6.15,1.1,0.95,10.05,14.15,-0.35,0.15,-0.2,-4.45,-1.45,4.47,0.96,1.87,0.44,0.13,0.65,1.35
Rodney McGruder,SG,29.0,DET,16.1,0.7,0.12,0.1,0.62,0.53,0.61,0.46,0.56,0.75,37,70,11.0,24.0,26,46,6,8,8.0,14.0,0.34,0.11,4.5,8.1,6.3,13.6,2.0,0.4,8.7,18.1,0.3,0.2,0.5,0.7,0.0,5.69,1.0,1.38,0.5,0.06,0.44,0.75
Romeo Langford,SG,21.0,BOS,5.1,-4.6,0.0,-0.2,0.44,0.36,0.4,0.28,0.39,0.75,21,59,5.0,18.0,16,41,9,12,12.0,23.0,0.3,0.2,4.7,9.1,6.9,5.9,1.0,1.7,13.5,11.3,-0.2,0.2,0.0,-4.9,0.2,3.11,0.72,1.94,0.33,0.28,0.56,1.33
Rondae Hollis-Jefferson,PF,26.0,POR,14.4,0.1,0.15,0.1,0.54,0.5,0.5,0.0,0.53,0.56,9,18,0.0,1.0,9,17,9,16,11.0,15.0,0.06,0.89,10.7,15.4,13.0,15.7,0.9,3.4,7.4,10.9,0.3,0.1,0.3,-1.1,1.2,2.45,1.18,2.36,0.18,0.36,0.18,1.36
Royce O'Neale,SF,27.0,UTA,9.9,1.0,0.12,1.7,0.6,0.44,0.58,0.38,0.59,0.85,175,394,107.0,278.0,68,116,39,46,88.0,397.0,0.71,0.12,4.4,18.0,11.5,10.4,1.2,1.2,16.7,9.6,2.3,3.3,5.6,-1.2,2.1,6.99,2.55,6.83,0.8,0.45,1.17,2.56
Rudy Gay,PF,34.0,SAS,14.7,-0.1,0.06,0.6,0.53,0.42,0.5,0.38,0.45,0.8,264,628,106.0,278.0,158,350,82,102,42.0,261.0,0.44,0.16,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,0.0,1.7,1.7,-0.1,0.0,11.37,1.4,4.81,0.71,0.63,1.03,1.83
