Player,Pos,Age,Tm,PER,BPM,WS/48,VORP,TS%,FG%,eFG%,3P%,2P%,FT%,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,OBPM,DBPM,PPG,APG,RPG,SPG,BPG,TPG,FPG
Malik Fitts,PF,23.0,LAC,2.9,-9.1,0.05,0.0,0.5,0.33,0.5,0.5,0.0,0.0,1,3,1.0,2.0,0,1,0,0,0.0,3.0,0.67,0.0,0.0,29.8,15.3,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,-7.0,-2.1,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Malik Monk,SG,22.0,CHO,13.6,-1.8,0.05,0.0,0.57,0.43,0.54,0.4,0.47,0.82,173,399,85.0,212.0,88,187,59,72,14.0,87.0,0.53,0.18,1.7,10.9,6.2,15.7,1.1,0.5,11.3,23.8,0.5,0.5,1.0,0.2,-2.0,11.67,2.07,2.4,0.45,0.1,1.31,1.12
Mamadi Diakite,PF,24.0,MIL,12.3,-2.4,0.1,0.0,0.48,0.4,0.41,0.12,0.47,0.79,16,40,1.0,8.0,15,32,11,14,8.0,26.0,0.2,0.35,6.2,18.7,12.7,7.0,2.3,3.8,6.1,14.6,0.1,0.2,0.3,-3.3,0.9,3.14,0.57,2.43,0.5,0.43,0.21,1.14
Marc Gasol,C,36.0,LAL,12.2,2.3,0.13,1.1,0.61,0.45,0.58,0.41,0.53,0.72,88,194,50.0,122.0,38,72,36,50,38.0,177.0,0.63,0.26,4.3,19.9,12.2,14.7,1.3,5.2,19.7,11.8,0.8,1.9,2.8,-1.4,3.7,5.04,2.1,4.13,0.5,1.12,1.02,2.21
Marcus Morris,PF,31.0,LAC,14.5,0.0,0.12,0.8,0.61,0.47,0.59,0.47,0.47,0.82,276,584,140.0,296.0,136,288,73,89,35.0,199.0,0.51,0.15,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,2.1,1.5,3.6,0.9,-0.8,13.42,1.02,4.11,0.6,0.26,1.0,2.05
Marcus Smart,PG,26.0,BOS,13.8,-0.3,0.1,0.7,0.54,0.4,0.49,0.33,0.48,0.79,203,510,93.0,282.0,110,228,128,162,36.0,131.0,0.55,0.32,2.5,9.3,5.9,23.6,2.2,1.4,14.2,18.4,1.8,1.5,3.3,-0.4,0.2,13.06,5.69,3.48,1.5,0.48,2.0,2.62
Markelle Fultz,PG,22.0,ORL,12.0,-4.4,-0.02,-0.1,0.46,0.39,0.41,0.25,0.42,0.9,41,104,4.0,16.0,37,88,17,19,5.0,20.0,0.15,0.18,2.3,10.0,6.0,33.1,1.8,0.8,13.8,26.2,-0.3,0.1,-0.1,-3.6,-0.9,12.88,5.38,3.12,1.0,0.25,2.25,2.25
Markieff Morris,PF,31.0,LAL,9.3,-2.6,0.06,-0.2,0.51,0.4,0.49,0.31,0.52,0.72,153,378,65.0,209.0,88,169,36,50,48.0,218.0,0.55,0.13,4.5,20.3,12.5,8.6,0.9,1.4,11.9,16.4,-0.2,1.8,1.6,-2.9,0.3,6.67,1.2,4.36,0.36,0.31,0.89,1.72
Markus Howard,SG,21.0,DEN,6.4,-8.7,-0.07,-0.3,0.48,0.38,0.46,0.28,0.54,0.78,40,106,18.0,65.0,22,41,7,9,1.0,20.0,0.61,0.08,0.6,11.0,5.8,12.6,1.0,0.5,14.1,27.2,-0.4,0.1,-0.3,-5.5,-3.2,2.84,0.49,0.57,0.11,0.03,0.49,0.62
Marques Bolden,C,22.0,CLE,13.3,-3.0,0.06,0.0,0.54,0.33,0.33,0.0,0.33,0.62,1,3,0.0,0.0,1,3,5,8,3.0,3.0,0.0,2.67,11.3,11.9,11.6,0.0,3.4,6.1,23.5,12.8,0.0,0.0,0.0,-3.8,0.8,1.17,0.0,1.0,0.33,0.33,0.33,0.0
Marvin Bagley III,PF,21.0,SAC,16.3,-3.1,0.06,-0.3,0.55,0.5,0.54,0.34,0.55,0.57,247,490,37.0,108.0,210,382,77,134,106.0,212.0,0.22,0.27,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.9,0.5,1.4,-0.4,-2.7,14.14,1.0,7.4,0.49,0.49,1.37,2.33
Mason Jones,SG,22.0,HOU,17.3,0.75,0.14,-0.05,0.6,0.48,0.56,0.43,0.53,0.66,52,123,24.0,66.0,28,57,40,64,7.0,48.0,0.39,0.64,6.9,10.5,8.55,17.85,1.35,0.15,12.2,21.95,0.0,0.05,0.1,1.35,-0.6,5.25,1.31,1.72,0.22,0.03,0.91,0.75
Mason Plumlee,C,30.0,DET,18.7,2.2,0.16,1.6,0.64,0.61,0.61,0.0,0.63,0.67,234,381,0.0,7.0,234,374,113,169,145.0,374.0,0.02,0.44,10.6,28.1,19.3,21.0,1.4,2.9,18.7,16.3,3.0,2.1,5.1,0.2,2.0,10.38,3.61,9.27,0.77,0.89,1.88,3.32
Matisse Thybulle,SG,23.0,PHI,10.1,1.9,0.1,1.3,0.51,0.42,0.51,0.3,0.59,0.44,102,243,43.0,143.0,59,100,8,18,30.0,94.0,0.59,0.07,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,0.1,2.7,2.8,-2.6,4.5,3.92,0.97,1.91,1.62,1.09,0.49,1.95
Matt Thomas,SG,26.0,TOR,9.35,-4.7,0.03,-0.1,0.52,0.39,0.5,0.34,0.47,0.86,50,127,27.0,80.0,23,47,12,14,7.0,37.0,0.63,0.11,2.5,12.55,7.55,9.0,0.6,0.0,9.45,20.25,-0.05,0.15,0.1,-2.7,-2.0,3.09,0.42,0.98,0.09,0.0,0.31,0.4
Matthew Dellavedova,PG,30.0,CLE,7.3,-6.4,0.0,-0.3,0.31,0.25,0.29,0.16,0.32,1.0,14,56,4.0,25.0,10,31,4,4,6.0,18.0,0.45,0.07,2.9,9.2,6.0,35.3,0.9,0.4,9.4,12.4,-0.1,0.1,0.0,-4.5,-1.9,2.77,4.46,1.85,0.31,0.08,0.46,1.62
Maurice Harkless,SF,27.0,MIA,6.7,-3.3,0.04,-0.15,0.53,0.4,0.53,0.35,0.29,0.4,69,165,23.0,84.0,46,81,33,43,13.0,76.0,0.66,0.21,1.9,10.65,6.25,7.3,1.45,2.75,13.95,9.35,0.05,0.2,0.3,-3.65,0.35,5.24,1.19,2.41,0.81,0.54,0.59,2.32
Max Strus,SF,24.0,MIA,12.1,-2.2,0.09,0.0,0.6,0.46,0.59,0.34,0.9,0.67,85,187,50.0,148.0,35,39,16,24,5.0,36.0,0.79,0.13,1.1,8.0,4.6,7.3,1.1,0.4,3.9,18.3,0.6,0.3,0.9,-0.5,-1.7,6.05,0.62,1.05,0.28,0.05,0.21,1.1
Maxi Kleber,PF,29.0,DAL,10.6,0.0,0.1,0.7,0.61,0.42,0.58,0.41,0.46,0.92,116,275,87.0,212.0,29,63,34,37,47.0,213.0,0.77,0.14,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,1.6,1.3,2.9,-0.5,0.5,7.06,1.36,5.2,0.48,0.7,0.6,2.1
Meyers Leonard,C,28.0,MIA,6.6,-3.7,0.04,0.0,0.64,0.43,0.64,0.43,0.0,0.5,3,7,3.0,7.0,0,0,1,2,0.0,7.0,1.0,0.29,0.0,27.1,13.8,9.7,0.0,0.0,20.2,15.4,0.0,0.0,0.0,-3.3,-0.4,3.33,0.67,2.33,0.0,0.0,0.67,1.67
Mfiondu Kabengele,PF,23.0,LAC,7.55,-5.7,0.0,-0.1,0.46,0.35,0.42,0.25,0.48,0.81,33,89,13.0,50.0,20,39,16,20,12.0,48.0,0.56,0.22,3.85,18.35,11.1,8.3,1.35,3.8,13.65,18.05,-0.1,0.15,0.1,-5.55,-0.15,2.44,0.44,1.54,0.21,0.33,0.38,0.92
Michael Carter-Williams,SG,29.0,ORL,9.5,-4.8,-0.03,-0.6,0.45,0.39,0.42,0.25,0.43,0.61,105,270,15.0,61.0,90,209,49,80,39.0,100.0,0.23,0.3,4.9,13.4,9.0,24.3,1.5,1.9,18.4,20.2,-1.1,0.6,-0.5,-4.6,-0.2,8.84,4.16,4.48,0.81,0.55,2.23,2.61
Michael Porter Jr.,SF,22.0,DEN,20.6,3.1,0.17,2.5,0.66,0.54,0.65,0.44,0.63,0.79,443,817,170.0,382.0,273,435,106,134,91.0,354.0,0.47,0.16,5.4,20.9,13.2,5.6,1.0,2.8,8.1,21.7,4.8,2.1,6.9,4.0,-0.9,19.05,1.15,7.3,0.66,0.89,1.26,2.07
Mikal Bridges,SF,24.0,PHO,16.4,3.3,0.16,3.1,0.67,0.54,0.64,0.42,0.65,0.84,363,669,134.0,315.0,229,354,110,131,76.0,233.0,0.47,0.2,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,2.4,0.9,13.47,2.11,4.29,1.06,0.88,0.79,1.61
